,station_name,latitude,longitude
0,Bond St / Queen St E,43.653236,-79.376716
1,Church St / Alexander St,43.663722,-79.380288
2,University Ave / Gerrard St W,43.657763,-79.389165
3,Niagara St / Richmond St W,43.64534,-79.409597
4,Edward St / Yonge St,43.656729,-79.382736
5,Euclid Ave / Bloor St W,43.664467,-79.414783
6,Yonge St / Aylmer Ave,43.675492,-79.388858
7,Davenport Rd / Avenue Rd,43.674991,-79.396273
8,Yonge St / Yorkville Ave,43.671944,-79.387778
9,Bay St / Davenport Rd,43.672829,-79.390592
10,Dundas St E / Broadview Ave,43.662365,-79.351104
11,Queen St W / Portland St,43.6476,-79.4015
12,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962
13,Gerrard St E / River St,43.663993,-79.358534
14,Jarvis St / Dundas St E,43.657266,-79.374756
15,Toronto Eaton Centre (Yonge St),43.655431,-79.380653
16,Spadina Ave / Adelaide St W,43.646688,-79.395267
17,King St E / Jarvis St,43.650325,-79.372287
18,Lower Jarvis St / The Esplanade,43.647992,-79.370907
19,Madison Ave / Bloor St W,43.667158,-79.402761
20,St. George St / Bloor St W,43.667333,-79.399429
21,University Ave / Elm St,43.656518,-79.389099
22,College St / Huron St,43.658148,-79.398167
23,Bay St / College St (East Side),43.660439,-79.385525
24,HTO Park (Queens Quay W),43.63796,-79.387502
25,Bloor St W / Dundas St W,43.6563889,-79.45166666666667
26,East Liberty St / Pirandello St,43.6386111111111,-79.4147222222222
27,Bathurst St / Fort York Blvd,43.639179,-79.399595
28,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889
29,Cariboo St / Rail Path,43.66666667,-79.45833333333334
30,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889
31,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.4502777777778
32,Dundas St W / Edna Ave,43.657192,-79.452559
33,College St / Major St,43.6576,-79.4032
34,Spadina Ave / Sussex Ave,43.664137,-79.402496
35,Queens Quay W / Dan Leckie Way,43.636533,-79.395854
36,College Park South,43.659777,-79.382767
37,161 Bleecker St (South of Wellesley),43.666233,-79.373327
38,Queen St W / Shaw St,43.644524,-79.416519
39,Exhibition GO (Atlantic Ave),43.6366666666667,-79.4197222222222
40,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889
41,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556
42,Ossington Ave / College St,43.6544915,-79.422634
43,Queens Quay W / Lower Simcoe St,43.63951,-79.383717
44,Sherbourne St / Wellesley St E,43.6673,-79.374
45,High Park Subway Station,43.6543604,-79.4655296
46,Sunnyside - Gus Ryder Pool,43.637894,-79.454823
47,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763
48,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569
49,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304
50,Queen St W / Roncesvalles Ave,43.638399,-79.4464436
51,Niagara St / Tecumseth St,43.641389,-79.404444
52,424 Wellington St W,43.643834,-79.396649
53,Dundas St W / St. Patrick St,43.6545174,-79.3895315
54,The Royal Ontario Museum (Bloor St Entrance),43.668561,-79.394403
55,Queen St E / Larchmount Ave,43.662279,-79.334166
56,Davenport Rd / Christie St,43.675278,-79.423889
57,Augusta Ave / Dundas St W,43.652473,-79.401456
58,Union Station,43.645609,-79.380386
59,Queen St W / Ossington Ave,43.643975,-79.419576
60,Bathurst St / Dundas St W,43.6523,-79.4058
61,Dundas St W / Yonge St,43.656094,-79.381484
62,Summerhill Station,43.681944,-79.390556
63,Kendal Ave / Spadina Rd,43.670318,-79.405181
64,Hanna Ave / Liberty St,43.638333,-79.419722
65,Marlborough Ave / Yonge St,43.68,-79.391111
66,Davenport Rd / Bathurst St,43.676667,-79.416111
67,Queen St W / Close Ave,43.640634,-79.435841
68,King St W / Joe Shuster Way,43.639444,-79.423611
69,Yarmouth Rd / Christie St,43.67,-79.42083333333333
70,Palmerston Ave / Vermont Ave,43.671389,-79.416389
71,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001
72,King St W / Fraser Ave,43.6394444,-79.42527777777778
73,Macpherson Ave / Spadina Rd,43.675791,-79.40698
74,Bridgeman Ave / Kendal Ave,43.675556,-79.410278
75,Bridgeman Ave / Bathurst St,43.674444,-79.414722
76,Kendal Ave / Bernard Ave,43.671513,-79.408317
77,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555
78,Fort York Blvd / Garrison Rd,43.6375,-79.40611111111112
79,Wellington St W / Stafford St,43.641281,-79.409339
80,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112
81,Dundas St E / Regent Park Blvd,43.660207,-79.361275
82,Lower Sherbourne St / The Esplanade,43.648655,-79.367061
83,Nelson St / Duncan St,43.648711,-79.389728
84,King St E / River St,43.657071,-79.356598
85,Queen St E / Sackville St,43.6561111,-79.36138888888888
86,Mill St / Tannery Rd,43.652219,-79.354455
87,Cherry St / Distillery Ln,43.650279,-79.356832
88,Front St E / Cherry St,43.652686,-79.358395
89,Seaton St / Dundas St E,43.658777,-79.369596
90,Queen St W / Spadina Ave,43.649147,-79.395504
91,Dockside Dr / Queens Quay E (Sugar Beach),43.644607,-79.366295
92,Yonge St / Harbour St,43.643795,-79.375413
93,Willcocks St / St. George St,43.662085,-79.397735
94,Dundas St E / Parliament St,43.659575,-79.365769
95,51 Parliament St,43.65205,-79.362198
96,University Ave / College St,43.659226,-79.390213
97,Bloor St / Brunswick Ave,43.665802,-79.40731
98,Princess St / Adelaide St E,43.652123,-79.367139
99,College St / Markham St,43.6563888888889,-79.4091666666667
100,Queen St W / Cowan Ave,43.6409,-79.432837
101,Queen St W / Gladstone Ave,43.6430555555556,-79.4275
102,Harbord St / Clinton St,43.660414,-79.415646
103,St. George St / Hoskin Ave,43.664059,-79.398334
104,Queen St W / Dovercourt Rd,43.6436111111111,-79.4225
105,Roxton Rd / Harbord St,43.65905,-79.422988
106,Ulster St / Bathurst St,43.66,-79.4088888888889
